fecha,s1p1,s1p2,s1p3,s1p4,s1p5,s2p6,s2p7,s2p8,s2p9,s3p10,s3p11,s3p12,s3p13,s4p14
07/06/2025 18:49,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,Neutral,"La empresa podría informar mejor sobre los cambios de precio, lo cual es útil para algunos compradores."
07/01/2025 21:38,De acuerdo,De acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,
24/03/2025 16:52,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,De acuerdo,Neutral,En desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,
11/06/2025 00:06,Neutral,Neutral,Totalmente de acuerdo,Totalmente en desacuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,De acuerdo,De acuerdo,Neutral,Neutral,De acuerdo,"Es evidente que la empresa podría informar mejor sobre los cambios de precio, pero no siempre entiendo cuándo es el mejor momento, AliExpress envía correos con ofertas sobre productos que uno ha visto en su pagina."
07/03/2025 20:41,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,Neutral,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Me gusta que el sistema premie a quienes se anticipan y planean su compra.
14/03/2025 23:21,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Neutral,En desacuerdo,Totalmente en desacuerdo,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,Neutral,
27/01/2025 23:48,Neutral,En desacuerdo,De acuerdo,Neutral,De acuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,
22/05/2025 05:22,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,
22/03/2025 21:06,De acuerdo,En desacuerdo,Neutral,En desacuerdo,Neutral,En desacuerdo,Neutral,Neutral,De acuerdo,De acuerdo,Neutral,De acuerdo,Neutral,
24/01/2025 15:00,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,
