fecha,año,mes,producto,marca,categoria,precio_c,precio_v,unidades
2020-01-30,2020,1,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,333000,2
2020-02-24,2020,2,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2020-03-02,2020,3,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2020-03-11,2020,3,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2020-03-16,2020,3,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2020-04-04,2020,4,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,2
2020-04-08,2020,4,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2020-04-11,2020,4,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2020-04-13,2020,4,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2020-04-27,2020,4,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2020-05-06,2020,5,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,333000,1
2020-05-10,2020,5,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,333000,1
2020-06-01,2020,6,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,407000,1
2020-06-10,2020,6,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,407000,1
2020-07-01,2020,7,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,407000,1
2020-07-10,2020,7,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,407000,1
2020-07-26,2020,7,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,407000,1
2020-09-17,2020,9,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2020-09-19,2020,9,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2020-09-21,2020,9,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2020-11-03,2020,11,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,333000,1
2020-11-15,2020,11,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,333000,1
2020-11-16,2020,11,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,333000,2
