fecha,año,mes,producto,marca,categoria,precio_c,precio_v,unidades
2022-01-23,2022,1,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,32310,1
2022-02-03,2022,2,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-02-07,2022,2,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-02-11,2022,2,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-03-28,2022,3,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-04-12,2022,4,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-04-14,2022,4,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-04-17,2022,4,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-04-18,2022,4,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-04-19,2022,4,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-04-20,2022,4,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-04-26,2022,4,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-04-28,2022,4,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-05-16,2022,5,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,32310,2
2022-05-20,2022,5,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,32310,1
2022-05-25,2022,5,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,32310,1
2022-07-01,2022,7,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,1
2022-07-16,2022,7,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,1
2022-07-31,2022,7,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,2
2022-08-29,2022,8,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-09-13,2022,9,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-09-18,2022,9,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-10-06,2022,10,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,3
2022-10-31,2022,10,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2022-11-12,2022,11,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,32310,1
2022-12-13,2022,12,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,1
2022-12-19,2022,12,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,1
2022-12-24,2022,12,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,1
2023-01-10,2023,1,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,32310,1
2023-01-25,2023,1,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,32310,2
2023-03-03,2023,3,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2023-03-14,2023,3,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,2
2023-04-10,2023,4,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2023-04-18,2023,4,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2023-05-08,2023,5,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,32310,1
2023-07-03,2023,7,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,1
2023-07-06,2023,7,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,1
2023-07-11,2023,7,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,1
2023-07-21,2023,7,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,1
2023-07-22,2023,7,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,1
2023-07-23,2023,7,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,2
2023-07-31,2023,7,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,1
2023-08-03,2023,8,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2023-09-16,2023,9,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2023-09-21,2023,9,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,2
2023-10-04,2023,10,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2023-10-18,2023,10,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2023-10-22,2023,10,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2023-10-24,2023,10,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2023-10-27,2023,10,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2023-11-06,2023,11,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,32310,1
2023-11-07,2023,11,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,32310,1
2023-11-20,2023,11,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,32310,1
2023-11-26,2023,11,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,32310,1
2023-12-12,2023,12,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,1
2023-12-28,2023,12,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,39490,1
2024-02-07,2024,2,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2024-02-14,2024,2,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2024-02-21,2024,2,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2024-03-27,2024,3,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
2024-04-05,2024,4,DataTraveler_Exodia_128_GB,Kingston,memoria_usb,29916,35900,1
