fecha,año,mes,producto,marca,categoria,precio_c,precio_v,unidades
2020-01-30,2020,1,Logitech_M170,Logitech,mouse,50000,54000,1
2020-02-24,2020,2,Logitech_M170,Logitech,mouse,50000,60000,1
2020-03-02,2020,3,Logitech_M170,Logitech,mouse,50000,60000,1
2020-03-11,2020,3,Logitech_M170,Logitech,mouse,50000,60000,1
2020-04-04,2020,4,Logitech_M170,Logitech,mouse,50000,60000,2
2020-04-08,2020,4,Logitech_M170,Logitech,mouse,50000,60000,1
2020-04-11,2020,4,Logitech_M170,Logitech,mouse,50000,60000,1
2020-04-13,2020,4,Logitech_M170,Logitech,mouse,50000,60000,1
2020-04-27,2020,4,Logitech_M170,Logitech,mouse,50000,60000,1
2020-05-06,2020,5,Logitech_M170,Logitech,mouse,50000,54000,1
2020-05-10,2020,5,Logitech_M170,Logitech,mouse,50000,54000,1
2020-06-01,2020,6,Logitech_M170,Logitech,mouse,50000,66000,1
2020-06-10,2020,6,Logitech_M170,Logitech,mouse,50000,66000,1
2020-07-01,2020,7,Logitech_M170,Logitech,mouse,50000,66000,1
2020-07-10,2020,7,Logitech_M170,Logitech,mouse,50000,66000,1
2020-07-26,2020,7,Logitech_M170,Logitech,mouse,50000,66000,2
2020-09-17,2020,9,Logitech_M170,Logitech,mouse,50000,60000,1
2020-09-19,2020,9,Logitech_M170,Logitech,mouse,50000,60000,1
2020-09-21,2020,9,Logitech_M170,Logitech,mouse,50000,60000,1
2020-11-03,2020,11,Logitech_M170,Logitech,mouse,50000,54000,1
2020-11-15,2020,11,Logitech_M170,Logitech,mouse,50000,54000,1
2020-11-16,2020,11,Logitech_M170,Logitech,mouse,50000,54000,1
2020-11-30,2020,11,Logitech_M170,Logitech,mouse,50000,54000,1
2020-12-10,2020,12,Logitech_M170,Logitech,mouse,50000,66000,1
2020-12-12,2020,12,Logitech_M170,Logitech,mouse,50000,66000,1
2020-12-15,2020,12,Logitech_M170,Logitech,mouse,50000,66000,2
2020-12-17,2020,12,Logitech_M170,Logitech,mouse,50000,66000,1
2020-12-18,2020,12,Logitech_M170,Logitech,mouse,50000,66000,1
2020-12-22,2020,12,Logitech_M170,Logitech,mouse,50000,66000,1
2021-01-01,2021,1,Logitech_M170,Logitech,mouse,50000,54000,1
2021-01-30,2021,1,Logitech_M170,Logitech,mouse,50000,54000,1
2021-03-04,2021,3,Logitech_M170,Logitech,mouse,50000,60000,1
2021-03-06,2021,3,Logitech_M170,Logitech,mouse,50000,60000,1
2021-03-09,2021,3,Logitech_M170,Logitech,mouse,50000,60000,1
2021-03-26,2021,3,Logitech_M170,Logitech,mouse,50000,60000,1
2021-04-04,2021,4,Logitech_M170,Logitech,mouse,50000,60000,2
2021-04-25,2021,4,Logitech_M170,Logitech,mouse,50000,60000,1
2021-04-26,2021,4,Logitech_M170,Logitech,mouse,50000,60000,1
2021-07-03,2021,7,Logitech_M170,Logitech,mouse,50000,66000,1
2021-07-05,2021,7,Logitech_M170,Logitech,mouse,50000,66000,1
2021-08-28,2021,8,Logitech_M170,Logitech,mouse,50000,60000,1
2021-09-01,2021,9,Logitech_M170,Logitech,mouse,50000,60000,1
2021-09-04,2021,9,Logitech_M170,Logitech,mouse,50000,60000,1
2021-09-11,2021,9,Logitech_M170,Logitech,mouse,50000,60000,1
2021-10-07,2021,10,Logitech_M170,Logitech,mouse,50000,60000,1
2021-10-11,2021,10,Logitech_M170,Logitech,mouse,50000,60000,1
2021-10-15,2021,10,Logitech_M170,Logitech,mouse,50000,60000,2
2021-10-19,2021,10,Logitech_M170,Logitech,mouse,50000,60000,1
2021-10-28,2021,10,Logitech_M170,Logitech,mouse,50000,60000,1
2021-11-10,2021,11,Logitech_M170,Logitech,mouse,50000,54000,1
2021-11-20,2021,11,Logitech_M170,Logitech,mouse,50000,54000,2
2021-11-27,2021,11,Logitech_M170,Logitech,mouse,50000,54000,1
2021-11-28,2021,11,Logitech_M170,Logitech,mouse,50000,54000,1
2021-12-02,2021,12,Logitech_M170,Logitech,mouse,50000,66000,1
2022-01-20,2022,1,Logitech_M170,Logitech,mouse,50000,54000,2
2022-02-08,2022,2,Logitech_M170,Logitech,mouse,50000,60000,1
2022-03-06,2022,3,Logitech_M170,Logitech,mouse,50000,60000,1
2022-04-08,2022,4,Logitech_M170,Logitech,mouse,50000,60000,1
2022-04-18,2022,4,Logitech_M170,Logitech,mouse,50000,60000,1
2022-05-04,2022,5,Logitech_M170,Logitech,mouse,50000,54000,1
2022-05-22,2022,5,Logitech_M170,Logitech,mouse,50000,54000,1
2022-06-16,2022,6,Logitech_M170,Logitech,mouse,50000,66000,1
2022-06-25,2022,6,Logitech_M170,Logitech,mouse,50000,66000,1
2022-06-27,2022,6,Logitech_M170,Logitech,mouse,50000,66000,1
2022-07-09,2022,7,Logitech_M170,Logitech,mouse,50000,66000,1
2022-07-12,2022,7,Logitech_M170,Logitech,mouse,50000,66000,1
2022-07-18,2022,7,Logitech_M170,Logitech,mouse,50000,66000,1
2022-08-05,2022,8,Logitech_M170,Logitech,mouse,50000,60000,1
2022-08-11,2022,8,Logitech_M170,Logitech,mouse,50000,60000,1
2022-08-30,2022,8,Logitech_M170,Logitech,mouse,50000,60000,1
2022-09-04,2022,9,Logitech_M170,Logitech,mouse,50000,60000,1
2022-09-13,2022,9,Logitech_M170,Logitech,mouse,50000,60000,1
2022-10-06,2022,10,Logitech_M170,Logitech,mouse,50000,60000,1
