fecha,año,mes,producto,marca,categoria,precio_c,precio_v,unidades
2021-01-19,2021,1,Z407_2_1_Bluetooth,Logitech,parlante,391583,422910,1
2021-02-11,2021,2,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2021-03-06,2021,3,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2021-03-12,2021,3,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2021-03-27,2021,3,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2021-04-05,2021,4,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,3
2021-04-07,2021,4,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2021-04-14,2021,4,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2021-04-19,2021,4,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2021-04-20,2021,4,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2021-04-23,2021,4,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,2
2021-05-07,2021,5,Z407_2_1_Bluetooth,Logitech,parlante,391583,422910,1
2021-05-10,2021,5,Z407_2_1_Bluetooth,Logitech,parlante,391583,422910,1
2021-05-16,2021,5,Z407_2_1_Bluetooth,Logitech,parlante,391583,422910,1
2021-05-25,2021,5,Z407_2_1_Bluetooth,Logitech,parlante,391583,422910,1
2021-06-01,2021,6,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2021-06-10,2021,6,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2021-06-16,2021,6,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2021-06-26,2021,6,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2021-07-04,2021,7,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2021-07-10,2021,7,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2021-07-26,2021,7,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2021-07-28,2021,7,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2021-08-13,2021,8,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2021-08-21,2021,8,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2021-10-06,2021,10,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2021-10-16,2021,10,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2021-11-15,2021,11,Z407_2_1_Bluetooth,Logitech,parlante,391583,422910,1
2021-12-12,2021,12,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2021-12-16,2021,12,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,3
2022-01-06,2022,1,Z407_2_1_Bluetooth,Logitech,parlante,391583,422910,1
2022-01-12,2022,1,Z407_2_1_Bluetooth,Logitech,parlante,391583,422910,1
2022-01-23,2022,1,Z407_2_1_Bluetooth,Logitech,parlante,391583,422910,1
2022-02-12,2022,2,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2022-02-18,2022,2,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2022-03-26,2022,3,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2022-03-31,2022,3,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2022-04-15,2022,4,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2022-05-22,2022,5,Z407_2_1_Bluetooth,Logitech,parlante,391583,422910,1
2022-06-10,2022,6,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2022-06-17,2022,6,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2022-06-28,2022,6,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2022-07-05,2022,7,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2022-07-16,2022,7,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2022-07-31,2022,7,Z407_2_1_Bluetooth,Logitech,parlante,391583,516890,1
2022-08-31,2022,8,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2022-09-14,2022,9,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
2022-09-26,2022,9,Z407_2_1_Bluetooth,Logitech,parlante,391583,469900,1
