fecha,año,mes,producto,marca,categoria,precio_c,precio_v,unidades
2023-01-28,2023,1,Pebble_2_K380s,Logitech,teclado,132416,143010,1
2023-02-10,2023,2,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-02-16,2023,2,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-02-26,2023,2,Pebble_2_K380s,Logitech,teclado,132416,158900,2
2023-03-06,2023,3,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-03-12,2023,3,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-03-28,2023,3,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-03-30,2023,3,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-04-14,2023,4,Pebble_2_K380s,Logitech,teclado,132416,158900,3
2023-04-18,2023,4,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-05-05,2023,5,Pebble_2_K380s,Logitech,teclado,132416,143010,1
2023-05-19,2023,5,Pebble_2_K380s,Logitech,teclado,132416,143010,1
2023-06-16,2023,6,Pebble_2_K380s,Logitech,teclado,132416,174790,1
2023-06-17,2023,6,Pebble_2_K380s,Logitech,teclado,132416,174790,1
2023-06-20,2023,6,Pebble_2_K380s,Logitech,teclado,132416,174790,1
2023-06-25,2023,6,Pebble_2_K380s,Logitech,teclado,132416,174790,1
2023-07-06,2023,7,Pebble_2_K380s,Logitech,teclado,132416,174790,1
2023-07-13,2023,7,Pebble_2_K380s,Logitech,teclado,132416,174790,1
2023-07-16,2023,7,Pebble_2_K380s,Logitech,teclado,132416,174790,1
2023-07-22,2023,7,Pebble_2_K380s,Logitech,teclado,132416,174790,1
2023-08-13,2023,8,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-08-20,2023,8,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-08-31,2023,8,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-09-07,2023,9,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-09-18,2023,9,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-09-29,2023,9,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-10-14,2023,10,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-10-19,2023,10,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2023-11-01,2023,11,Pebble_2_K380s,Logitech,teclado,132416,143010,1
2023-11-10,2023,11,Pebble_2_K380s,Logitech,teclado,132416,143010,1
2023-11-15,2023,11,Pebble_2_K380s,Logitech,teclado,132416,143010,1
2023-11-17,2023,11,Pebble_2_K380s,Logitech,teclado,132416,143010,1
2023-11-23,2023,11,Pebble_2_K380s,Logitech,teclado,132416,143010,1
2023-11-25,2023,11,Pebble_2_K380s,Logitech,teclado,132416,143010,1
2023-12-08,2023,12,Pebble_2_K380s,Logitech,teclado,132416,174790,1
2023-12-09,2023,12,Pebble_2_K380s,Logitech,teclado,132416,174790,1
2023-12-22,2023,12,Pebble_2_K380s,Logitech,teclado,132416,174790,1
2024-02-02,2024,2,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2024-02-12,2024,2,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2024-02-14,2024,2,Pebble_2_K380s,Logitech,teclado,132416,158900,3
2024-02-19,2024,2,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2024-03-09,2024,3,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2024-03-15,2024,3,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2024-03-23,2024,3,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2024-04-15,2024,4,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2024-04-18,2024,4,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2024-04-28,2024,4,Pebble_2_K380s,Logitech,teclado,132416,158900,1
