fecha,año,mes,producto,marca,categoria,precio_c,precio_v,unidades
2018-02-10,2018,2,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-02-16,2018,2,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-03-06,2018,3,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-03-12,2018,3,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,2
2018-03-28,2018,3,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-03-30,2018,3,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-04-18,2018,4,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-05-19,2018,5,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-06-16,2018,6,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-06-17,2018,6,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-06-20,2018,6,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-06-25,2018,6,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-07-13,2018,7,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-07-16,2018,7,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-07-22,2018,7,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-08-13,2018,8,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-08-31,2018,8,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-09-07,2018,9,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-09-18,2018,9,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,2
2018-10-14,2018,10,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-11-15,2018,11,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-12-08,2018,12,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-12-09,2018,12,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-01-20,2019,1,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-02-02,2019,2,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-02-12,2019,2,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-02-19,2019,2,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-03-16,2019,3,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-03-24,2019,3,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-04-16,2019,4,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-04-19,2019,4,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-04-28,2019,4,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-06-06,2019,6,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-06-07,2019,6,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-06-20,2019,6,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-06-26,2019,6,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-07-27,2019,7,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-09-22,2019,9,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-09-26,2019,9,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-12-04,2019,12,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-12-10,2019,12,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2019-12-22,2019,12,Cloud_Stinger_Core_con_cable,HyperX,audifono,208333,250000,1
2018-02-16,2018,2,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,2
2018-03-06,2018,3,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-03-12,2018,3,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-03-28,2018,3,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-03-30,2018,3,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-04-18,2018,4,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-05-19,2018,5,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-06-16,2018,6,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-06-17,2018,6,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-06-20,2018,6,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-06-25,2018,6,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-07-13,2018,7,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-07-16,2018,7,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,3
2018-07-22,2018,7,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-08-31,2018,8,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-09-07,2018,9,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-09-18,2018,9,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-10-14,2018,10,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-12-08,2018,12,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-12-09,2018,12,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2019-01-20,2019,1,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2019-02-02,2019,2,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2019-03-24,2019,3,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2019-04-19,2019,4,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2019-04-28,2019,4,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2019-06-06,2019,6,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2019-06-07,2019,6,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2019-06-20,2019,6,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2019-06-26,2019,6,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2019-07-27,2019,7,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2019-09-22,2019,9,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2019-12-04,2019,12,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2019-12-10,2019,12,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2019-12-22,2019,12,Cloud_Stinger_Core_Wireless_7_1_inalámbrico,HyperX,audifono,362500,435000,1
2018-02-10,2018,2,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-02-16,2018,2,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-03-06,2018,3,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-03-12,2018,3,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-03-28,2018,3,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-03-30,2018,3,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-04-14,2018,4,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-04-18,2018,4,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-06-16,2018,6,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-06-17,2018,6,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-06-20,2018,6,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,2
2018-06-25,2018,6,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-07-06,2018,7,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-07-13,2018,7,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-07-16,2018,7,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-07-22,2018,7,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-07-27,2018,7,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-08-13,2018,8,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-08-31,2018,8,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,2
2018-09-07,2018,9,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-09-18,2018,9,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-10-14,2018,10,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-10-19,2018,10,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-12-08,2018,12,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-12-09,2018,12,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2018-12-22,2018,12,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-01-20,2019,1,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-02-02,2019,2,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-02-12,2019,2,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-02-14,2019,2,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-02-19,2019,2,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-03-10,2019,3,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-03-16,2019,3,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-03-24,2019,3,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-04-16,2019,4,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-04-19,2019,4,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-04-28,2019,4,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-06-06,2019,6,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-06-07,2019,6,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-06-20,2019,6,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-06-26,2019,6,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-07-27,2019,7,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-08-16,2019,8,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-09-22,2019,9,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-09-26,2019,9,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-10-06,2019,10,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-12-04,2019,12,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-12-10,2019,12,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
2019-12-22,2019,12,Redmi_Buds_3_Lite_in_TWS,Xiaomi,audifono,91006,109208,1
