fecha,año,mes,producto,marca,categoria,precio_c,precio_v,unidades
2018-02-10,2018,2,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-02-16,2018,2,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-03-06,2018,3,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-03-12,2018,3,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-03-28,2018,3,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-03-30,2018,3,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-04-14,2018,4,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-04-18,2018,4,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-05-19,2018,5,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-06-16,2018,6,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-06-20,2018,6,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-06-25,2018,6,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-07-13,2018,7,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-07-16,2018,7,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-08-13,2018,8,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-08-31,2018,8,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-09-07,2018,9,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-09-18,2018,9,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,2
2018-10-14,2018,10,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-11-15,2018,11,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-11-17,2018,11,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-12-08,2018,12,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-12-09,2018,12,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-01-20,2019,1,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-01-26,2019,1,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-02-02,2019,2,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-02-12,2019,2,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-02-19,2019,2,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-03-16,2019,3,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-03-24,2019,3,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-04-16,2019,4,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-04-19,2019,4,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-04-28,2019,4,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-05-29,2019,5,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-06-06,2019,6,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-06-07,2019,6,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-06-20,2019,6,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-06-26,2019,6,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-07-27,2019,7,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-08-16,2019,8,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-09-22,2019,9,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2019-09-26,2019,9,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,3
2019-12-04,2019,12,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,2
2019-12-10,2019,12,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,2
2019-12-22,2019,12,HDD_2_TB_USB_3_0,Seagate,disco_pc,308333,370000,1
2018-02-10,2018,2,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-02-16,2018,2,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,3
2018-03-06,2018,3,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,2
2018-03-12,2018,3,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-03-28,2018,3,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-03-30,2018,3,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-04-18,2018,4,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-05-19,2018,5,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-06-16,2018,6,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-06-17,2018,6,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-06-20,2018,6,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-06-25,2018,6,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-07-06,2018,7,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-07-13,2018,7,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-07-16,2018,7,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-07-22,2018,7,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-07-27,2018,7,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-08-13,2018,8,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-08-31,2018,8,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-09-07,2018,9,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-09-18,2018,9,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-10-14,2018,10,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-11-15,2018,11,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-11-17,2018,11,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-12-08,2018,12,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-12-09,2018,12,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-12-22,2018,12,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-01-20,2019,1,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,2
2019-02-02,2019,2,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-02-12,2019,2,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-02-19,2019,2,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-03-16,2019,3,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-03-24,2019,3,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-04-16,2019,4,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,2
2019-04-19,2019,4,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-04-28,2019,4,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-05-29,2019,5,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-06-06,2019,6,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-06-07,2019,6,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-06-20,2019,6,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-06-26,2019,6,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-07-27,2019,7,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-09-22,2019,9,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-09-26,2019,9,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-12-04,2019,12,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-12-10,2019,12,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2019-12-22,2019,12,SSD_SU650_480_GB,ADATA,disco_pc,241666,290000,1
2018-02-10,2018,2,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,2
2018-02-16,2018,2,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-03-06,2018,3,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-03-12,2018,3,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-03-28,2018,3,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-03-30,2018,3,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-04-14,2018,4,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,3
2018-04-18,2018,4,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-05-19,2018,5,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-06-16,2018,6,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-06-20,2018,6,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-06-25,2018,6,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-07-13,2018,7,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-07-16,2018,7,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-08-13,2018,8,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-08-31,2018,8,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-09-07,2018,9,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-09-18,2018,9,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-10-14,2018,10,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-11-15,2018,11,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-11-17,2018,11,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-12-08,2018,12,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-12-09,2018,12,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-01-20,2019,1,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-02-02,2019,2,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-02-12,2019,2,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-02-19,2019,2,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-03-16,2019,3,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-03-24,2019,3,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-04-16,2019,4,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-04-19,2019,4,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-04-28,2019,4,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-06-06,2019,6,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-06-07,2019,6,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-06-20,2019,6,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-06-26,2019,6,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-07-27,2019,7,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-09-22,2019,9,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-09-26,2019,9,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-12-04,2019,12,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-12-10,2019,12,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2019-12-22,2019,12,nMVe_NV2_500_GB,Kingston,disco_pc,138571,166286,1
2018-02-10,2018,2,nMVe_P3_Plus_1_TB,Crucial,disco_pc,245833,295000,1
2018-02-16,2018,2,nMVe_P3_Plus_1_TB,Crucial,disco_pc,245833,295000,3
2018-03-06,2018,3,nMVe_P3_Plus_1_TB,Crucial,disco_pc,245833,295000,1
2018-03-12,2018,3,nMVe_P3_Plus_1_TB,Crucial,disco_pc,245833,295000,1
2018-03-28,2018,3,nMVe_P3_Plus_1_TB,Crucial,disco_pc,245833,295000,1
2018-03-30,2018,3,nMVe_P3_Plus_1_TB,Crucial,disco_pc,245833,295000,1
2018-04-18,2018,4,nMVe_P3_Plus_1_TB,Crucial,disco_pc,245833,295000,1
2018-05-19,2018,5,nMVe_P3_Plus_1_TB,Crucial,disco_pc,245833,295000,1
2018-06-16,2018,6,nMVe_P3_Plus_1_TB,Crucial,disco_pc,245833,295000,1
2018-06-17,2018,6,nMVe_P3_Plus_1_TB,Crucial,disco_pc,245833,295000,1
2018-06-20,2018,6,nMVe_P3_Plus_1_TB,Crucial,disco_pc,245833,295000,1
2018-06-25,2018,6,nMVe_P3_Plus_1_TB,Crucial,disco_pc,245833,295000,1
2018-07-06,2018,7,nMVe_P3_Plus_1_TB,Crucial,disco_pc,245833,295000,1
