fecha,año,mes,producto,marca,categoria,precio_c,precio_v,unidades
2018-02-10,2018,2,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-02-16,2018,2,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-02-26,2018,2,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-03-06,2018,3,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-03-12,2018,3,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-03-28,2018,3,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-03-30,2018,3,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-04-14,2018,4,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-04-18,2018,4,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-06-16,2018,6,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-06-17,2018,6,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-06-20,2018,6,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-06-25,2018,6,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-07-06,2018,7,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-07-13,2018,7,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-07-16,2018,7,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-07-22,2018,7,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-07-27,2018,7,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-08-13,2018,8,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-08-31,2018,8,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-09-07,2018,9,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-09-18,2018,9,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-09-29,2018,9,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-10-14,2018,10,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-10-19,2018,10,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-12-08,2018,12,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-12-09,2018,12,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-12-22,2018,12,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-01-20,2019,1,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-01-26,2019,1,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-02-02,2019,2,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-02-12,2019,2,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-02-14,2019,2,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-02-19,2019,2,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-03-10,2019,3,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-03-16,2019,3,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-03-24,2019,3,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-04-16,2019,4,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-04-19,2019,4,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-04-28,2019,4,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-06-06,2019,6,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-06-07,2019,6,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-06-20,2019,6,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-06-26,2019,6,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,2
2019-07-03,2019,7,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-07-27,2019,7,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-08-16,2019,8,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-09-22,2019,9,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-09-26,2019,9,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-10-06,2019,10,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-10-28,2019,10,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-12-04,2019,12,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-12-10,2019,12,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,2
2019-12-12,2019,12,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2019-12-22,2019,12,Ultra_64_GB_Class_10,SanDisk,micro_sd,25000,30000,1
2018-02-10,2018,2,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-02-16,2018,2,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-03-06,2018,3,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-03-12,2018,3,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-03-28,2018,3,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-03-30,2018,3,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-04-18,2018,4,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-05-19,2018,5,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-06-16,2018,6,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-06-17,2018,6,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-06-20,2018,6,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-06-25,2018,6,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-07-06,2018,7,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-07-13,2018,7,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-07-16,2018,7,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-07-22,2018,7,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-08-13,2018,8,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-08-31,2018,8,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-09-07,2018,9,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-09-18,2018,9,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-10-14,2018,10,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-12-08,2018,12,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-12-09,2018,12,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2018-12-22,2018,12,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-01-20,2019,1,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-02-02,2019,2,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-02-12,2019,2,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-02-19,2019,2,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-03-16,2019,3,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-03-24,2019,3,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-04-16,2019,4,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-04-19,2019,4,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-04-28,2019,4,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-06-06,2019,6,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-06-07,2019,6,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-06-20,2019,6,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-06-26,2019,6,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-07-27,2019,7,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-09-22,2019,9,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-09-26,2019,9,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-12-04,2019,12,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
2019-12-10,2019,12,Extreme_128_GB_UHS_V30,SanDisk,micro_sd,75000,90000,1
