fecha,año,mes,producto,marca,categoria,precio_c,precio_v,unidades
2018-02-10,2018,2,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-02-16,2018,2,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-03-06,2018,3,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-03-12,2018,3,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-03-28,2018,3,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-03-30,2018,3,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,2
2018-04-14,2018,4,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-04-18,2018,4,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-05-19,2018,5,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-06-16,2018,6,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-06-17,2018,6,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-06-20,2018,6,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-06-25,2018,6,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-07-06,2018,7,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-07-13,2018,7,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-07-16,2018,7,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-07-22,2018,7,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-07-27,2018,7,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-08-13,2018,8,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-08-31,2018,8,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-09-07,2018,9,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-09-18,2018,9,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-10-14,2018,10,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-12-08,2018,12,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-12-09,2018,12,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2018-12-22,2018,12,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2019-01-20,2019,1,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,1
2019-02-02,2019,2,F24T452FQN_24_IPS,Samsung,monitor,441666,530000,3
