fecha,año,mes,producto,marca,categoria,precio_c,precio_v,unidades
2018-02-10,2018,2,Logitech_M170,Logitech,mouse,50000,60000,1
2018-02-16,2018,2,Logitech_M170,Logitech,mouse,50000,60000,1
2018-03-06,2018,3,Logitech_M170,Logitech,mouse,50000,60000,1
2018-03-12,2018,3,Logitech_M170,Logitech,mouse,50000,60000,1
2018-03-28,2018,3,Logitech_M170,Logitech,mouse,50000,60000,1
2018-03-30,2018,3,Logitech_M170,Logitech,mouse,50000,60000,1
2018-04-14,2018,4,Logitech_M170,Logitech,mouse,50000,60000,1
2018-04-18,2018,4,Logitech_M170,Logitech,mouse,50000,60000,1
2018-05-19,2018,5,Logitech_M170,Logitech,mouse,50000,60000,2
2018-06-16,2018,6,Logitech_M170,Logitech,mouse,50000,60000,1
2018-06-17,2018,6,Logitech_M170,Logitech,mouse,50000,60000,1
2018-06-20,2018,6,Logitech_M170,Logitech,mouse,50000,60000,1
2018-06-25,2018,6,Logitech_M170,Logitech,mouse,50000,60000,1
2018-07-06,2018,7,Logitech_M170,Logitech,mouse,50000,60000,1
2018-07-13,2018,7,Logitech_M170,Logitech,mouse,50000,60000,1
2018-07-16,2018,7,Logitech_M170,Logitech,mouse,50000,60000,1
2018-07-22,2018,7,Logitech_M170,Logitech,mouse,50000,60000,1
2018-07-27,2018,7,Logitech_M170,Logitech,mouse,50000,60000,1
2018-08-13,2018,8,Logitech_M170,Logitech,mouse,50000,60000,1
2018-08-31,2018,8,Logitech_M170,Logitech,mouse,50000,60000,1
2018-09-07,2018,9,Logitech_M170,Logitech,mouse,50000,60000,1
2018-09-18,2018,9,Logitech_M170,Logitech,mouse,50000,60000,1
2018-10-14,2018,10,Logitech_M170,Logitech,mouse,50000,60000,1
2018-10-19,2018,10,Logitech_M170,Logitech,mouse,50000,60000,1
2018-11-15,2018,11,Logitech_M170,Logitech,mouse,50000,60000,1
2018-12-08,2018,12,Logitech_M170,Logitech,mouse,50000,60000,1
2018-12-09,2018,12,Logitech_M170,Logitech,mouse,50000,60000,1
2018-12-22,2018,12,Logitech_M170,Logitech,mouse,50000,60000,1
2019-01-20,2019,1,Logitech_M170,Logitech,mouse,50000,60000,1
2019-01-26,2019,1,Logitech_M170,Logitech,mouse,50000,60000,1
2019-02-02,2019,2,Logitech_M170,Logitech,mouse,50000,60000,1
2019-02-12,2019,2,Logitech_M170,Logitech,mouse,50000,60000,1
2019-02-14,2019,2,Logitech_M170,Logitech,mouse,50000,60000,1
2019-02-19,2019,2,Logitech_M170,Logitech,mouse,50000,60000,1
2019-03-10,2019,3,Logitech_M170,Logitech,mouse,50000,60000,1
2019-03-16,2019,3,Logitech_M170,Logitech,mouse,50000,60000,1
2019-03-24,2019,3,Logitech_M170,Logitech,mouse,50000,60000,1
2019-04-16,2019,4,Logitech_M170,Logitech,mouse,50000,60000,1
2019-04-19,2019,4,Logitech_M170,Logitech,mouse,50000,60000,1
2019-04-28,2019,4,Logitech_M170,Logitech,mouse,50000,60000,1
2019-06-06,2019,6,Logitech_M170,Logitech,mouse,50000,60000,1
2019-06-07,2019,6,Logitech_M170,Logitech,mouse,50000,60000,1
2019-06-20,2019,6,Logitech_M170,Logitech,mouse,50000,60000,2
2019-06-26,2019,6,Logitech_M170,Logitech,mouse,50000,60000,1
2019-07-27,2019,7,Logitech_M170,Logitech,mouse,50000,60000,1
2019-08-16,2019,8,Logitech_M170,Logitech,mouse,50000,60000,1
2019-09-22,2019,9,Logitech_M170,Logitech,mouse,50000,60000,1
2019-09-26,2019,9,Logitech_M170,Logitech,mouse,50000,60000,1
2019-10-06,2019,10,Logitech_M170,Logitech,mouse,50000,60000,1
2019-12-04,2019,12,Logitech_M170,Logitech,mouse,50000,60000,1
2019-12-10,2019,12,Logitech_M170,Logitech,mouse,50000,60000,1
2019-12-12,2019,12,Logitech_M170,Logitech,mouse,50000,60000,1
2019-12-22,2019,12,Logitech_M170,Logitech,mouse,50000,60000,2
2018-02-10,2018,2,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-02-16,2018,2,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-02-26,2018,2,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,2
2018-03-06,2018,3,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,2
2018-03-12,2018,3,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-03-28,2018,3,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-03-30,2018,3,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-04-14,2018,4,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-04-18,2018,4,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-05-19,2018,5,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-06-16,2018,6,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-06-17,2018,6,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-06-20,2018,6,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-06-25,2018,6,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-07-13,2018,7,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-07-16,2018,7,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-07-22,2018,7,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-08-13,2018,8,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-08-31,2018,8,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-09-07,2018,9,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-09-18,2018,9,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-09-29,2018,9,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-10-14,2018,10,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-10-19,2018,10,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-12-08,2018,12,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-12-09,2018,12,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-02-02,2019,2,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-02-12,2019,2,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-02-14,2019,2,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-02-19,2019,2,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-03-10,2019,3,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-03-16,2019,3,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-03-24,2019,3,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-04-16,2019,4,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-04-19,2019,4,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,2
2019-04-28,2019,4,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-06-06,2019,6,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-06-07,2019,6,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-06-20,2019,6,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-06-26,2019,6,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-07-27,2019,7,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-08-16,2019,8,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-09-22,2019,9,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-09-26,2019,9,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-10-06,2019,10,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-10-28,2019,10,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-12-04,2019,12,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-12-10,2019,12,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2019-12-22,2019,12,Inalámbrico_Logitech_M280,Logitech,mouse,62500,75000,1
2018-02-16,2018,2,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-03-06,2018,3,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-03-12,2018,3,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-03-28,2018,3,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-03-30,2018,3,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-04-18,2018,4,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-05-19,2018,5,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-06-16,2018,6,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-06-17,2018,6,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-06-20,2018,6,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-06-25,2018,6,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-07-06,2018,7,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-07-13,2018,7,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-07-16,2018,7,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-07-22,2018,7,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-07-27,2018,7,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-08-13,2018,8,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-08-31,2018,8,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-09-07,2018,9,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-09-18,2018,9,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-10-14,2018,10,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-11-15,2018,11,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-12-08,2018,12,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-12-09,2018,12,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-12-22,2018,12,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-02-02,2019,2,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-02-19,2019,2,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-03-16,2019,3,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-03-24,2019,3,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-04-16,2019,4,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-04-19,2019,4,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-04-28,2019,4,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-06-06,2019,6,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-06-07,2019,6,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-06-20,2019,6,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-06-26,2019,6,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-07-27,2019,7,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-09-22,2019,9,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-09-26,2019,9,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-12-04,2019,12,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-12-10,2019,12,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2019-12-12,2019,12,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,3
2019-12-22,2019,12,Logitech_Pebble_2_M350s,Logitech,mouse,75000,90000,1
2018-02-10,2018,2,Razer_DeathAdder_Essential,Razer,mouse,70833,85000,1
2018-02-16,2018,2,Razer_DeathAdder_Essential,Razer,mouse,70833,85000,1
