fecha,año,mes,producto,marca,categoria,precio_c,precio_v,unidades
2018-02-10,2018,2,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-02-16,2018,2,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-02-26,2018,2,Pebble_2_K380s,Logitech,teclado,132416,158900,2
2018-03-06,2018,3,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-03-12,2018,3,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-03-28,2018,3,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-03-30,2018,3,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-04-14,2018,4,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-04-18,2018,4,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-05-19,2018,5,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-06-16,2018,6,Pebble_2_K380s,Logitech,teclado,132416,158900,2
2018-06-17,2018,6,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-06-20,2018,6,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-06-25,2018,6,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-07-06,2018,7,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-07-13,2018,7,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-07-16,2018,7,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-07-22,2018,7,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-07-27,2018,7,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-08-13,2018,8,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-08-20,2018,8,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-08-31,2018,8,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-09-07,2018,9,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-09-18,2018,9,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-09-29,2018,9,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-10-14,2018,10,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-10-19,2018,10,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-11-15,2018,11,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-12-08,2018,12,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-12-09,2018,12,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2018-12-22,2018,12,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2019-01-20,2019,1,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2019-02-02,2019,2,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2019-02-12,2019,2,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2019-02-14,2019,2,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2019-02-19,2019,2,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2019-03-10,2019,3,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2019-03-16,2019,3,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2019-03-24,2019,3,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2019-04-16,2019,4,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2019-04-19,2019,4,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2019-04-28,2019,4,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2019-06-06,2019,6,Pebble_2_K380s,Logitech,teclado,132416,158900,1
2019-06-07,2019,6,Pebble_2_K380s,Logitech,teclado,132416,158900,1
